Ticker,Market Cap (Cr),3M Avg Vol,Debt/Equity,Q1 Net Income,Current Price,Status
BLS.NS,9228.8,2019889,0.15,190.07,224.26,PASSED
CLEAN.NS,8579.79,377015,0.14,73.35,807.25,PASSED
JUBLINGREA.NS,10347.78,419545,0.25,105.82,656.1,PASSED
NUVOCO.NS,11980.8,1673854,0.48,159.76,335.45,PASSED
PGEL.NS,14854.85,1692556,0.2,76.22,518.5,PASSED
TRIDENT.NS,11780.99,4352086,0.38,158.09,23.12,PASSED
WHIRLPOOL.NS,11662.71,1120832,0.09,102.88,918.9,PASSED
