Rank,Ticker,Momentum Score,Revenue Growth Score,Net Income Growth Score,EBITDA Trend Score,Op Margin Trend Score,EPS Trend Score,OCF Trend Score,Debt Trend Score,Profitability Score,Active Metrics,Status
1,JUBLINGREA.NS,75.68,82.5,81.0,69.88,62.77,77.67,N/A,85.0,70.0,7/8,PASSED
2,BLS.NS,73.94,72.5,75.63,64.23,74.78,68.2,N/A,85.0,100.0,7/8,PASSED
3,TRIDENT.NS,72.5,56.37,81.0,80.07,80.01,77.67,N/A,65.0,55.0,7/8,PASSED
4,CLEAN.NS,67.84,70.26,81.0,46.53,60.0,63.25,N/A,100.0,70.0,7/8,PASSED
5,NUVOCO.NS,62.16,59.46,81.0,44.21,54.72,77.67,N/A,50.0,55.0,7/8,PASSED
6,WHIRLPOOL.NS,51.1,71.05,81.0,21.01,12.44,35.67,N/A,85.0,55.0,7/8,PASSED
