Ticker,Momentum Score,Business Quality,Growth Visibility,Management,Competitive Advantage,Risk,Long-Term Potential,Confidence,Final AI Score
JUBLINGREA.NS,75.68,79.9,78.11,79.33,78.6,89.87,77.63,85.0,79.8
BLS.NS,73.94,78.24,76.55,77.85,77.07,93.81,76.02,85.0,78.78
TRIDENT.NS,72.5,76.88,75.25,76.62,75.8,84.67,74.7,85.0,76.7
CLEAN.NS,67.84,72.45,71.06,72.66,71.7,99.95,70.41,85.0,74.43
NUVOCO.NS,62.16,67.05,65.94,67.84,66.7,80.78,65.19,85.0,67.89
WHIRLPOOL.NS,51.1,60.0,60.0,65.0,56.97,96.55,65.0,85.0,64.95
